nixpkgs._0verkill                                                      0verkill-unstable-2011-01-13
nixpkgs.perl530Packages.HTMLTiny                                       perl5.30.3-HTML-Tiny-1.05
nixpkgs.perl530Packages.HTMLTokeParserSimple                           perl5.30.3-HTML-TokeParser-Simple-3.16
nixpkgs.perl530Packages.HTMLTree                                       perl5.30.3-HTML-Tree-5.07
nixpkgs.perl530Packages.HTMLTreeBuilderXPath                           perl5.30.3-HTML-TreeBuilder-XPath-0.14
nixpkgs.perl530Packages.HTMLWidget                                     perl5.30.3-HTML-Widget-1.11
nixpkgs.perl530Packages.HTTPAcceptLanguage                             perl5.30.3-HTTP-AcceptLanguage-0.02
nixpkgs.perl530Packages.HTTPBody                                       perl5.30.3-HTTP-Body-1.22
nixpkgs.perl530Packages.HTTPCookieJar                                  perl5.30.3-HTTP-CookieJar-0.010
nixpkgs.perl530Packages.HTTPCookies                                    perl5.30.3-HTTP-Cookies-6.09
nixpkgs.perl530Packages.HTTPDaemon                                     perl5.30.3-HTTP-Daemon-6.01
nixpkgs.perl530Packages.HTTPDate                                       perl5.30.3-HTTP-Date-6.05
nixpkgs.perl530Packages.HTTPDAV                                        perl5.30.3-HTTP-DAV-0.49
nixpkgs.perl530Packages.HTTPEntityParser                               perl5.30.3-HTTP-Entity-Parser-0.25
nixpkgs.perl530Packages.HTTPHeaderParserXS                             perl5.30.3-HTTP-HeaderParser-XS-0.20
nixpkgs.perl530Packages.HTTPHeadersFast                                perl5.30.3-HTTP-Headers-Fast-0.22
nixpkgs.perl530Packages.HTTPLite                                       perl5.30.3-HTTP-Lite-2.44
nixpkgs.perl530Packages.HTTPMessage                                    perl5.30.3-HTTP-Message-6.26
nixpkgs.perl530Packages.HTTPMultiPartParser                            perl5.30.3-HTTP-MultiPartParser-0.02
nixpkgs.perl530Packages.HTTPNegotiate                                  perl5.30.3-HTTP-Negotiate-6.01
nixpkgs.perl530Packages.HTTPParserXS                                   perl5.30.3-HTTP-Parser-XS-0.17
nixpkgs.perl530Packages.HTTPProxy                                      perl5.30.3-HTTP-Proxy-0.304
nixpkgs.perl530Packages.HTTPRequestAsCGI                               perl5.30.3-HTTP-Request-AsCGI-1.2
nixpkgs.perl530Packages.HTTPResponseEncoding                           perl5.30.3-HTTP-Response-Encoding-0.06
nixpkgs.perl530Packages.HTTPServerSimple                               perl5.30.3-HTTP-Server-Simple-0.52
nixpkgs.perl530Packages.HTTPServerSimpleAuthen                         perl5.30.3-HTTP-Server-Simple-Authen-0.04
nixpkgs.perl530Packages.HTTPServerSimpleMason                          perl5.30.3-HTTP-Server-Simple-Mason-0.14
nixpkgs.perl530Packages.HTTPServerSimplePSGI                           perl5.30.3-HTTP-Server-Simple-PSGI-0.16
nixpkgs.perl530Packages.HTTPTinyCache                                  perl5.30.3-HTTP-Tiny-Cache-0.002
nixpkgs.perl530Packages.HTTPTinyish                                    perl5.30.3-HTTP-Tinyish-0.17
nixpkgs.perl530Packages.iCalParser                                     perl5.30.3-iCal-Parser-1.21
nixpkgs.perl530Packages.ImageExifTool                                  perl5.30.3-Image-ExifTool-12.16
nixpkgs.perl530Packages.ImageInfo                                      perl5.30.3-Image-Info-1.42
nixpkgs.perl530Packages.ImagePNGLibpng                                 perl5.30.3-Image-PNG-Libpng-0.56
nixpkgs.perl530Packages.ImageSane                                      perl5.30.3-Image-Sane-5
nixpkgs.perl530Packages.ImageScale                                     perl5.30.3-Image-Scale-0.14
nixpkgs.perl530Packages.ImageSize                                      perl5.30.3-Image-Size-3.300
nixpkgs.perl530Packages.Imager                                         perl5.30.3-Imager-1.012
nixpkgs.perl530Packages.ImagerQRCode                                   perl5.30.3-Imager-QRCode-0.035
nixpkgs.perl530Packages.IMAPClient                                     perl5.30.3-IMAP-Client-0.13
nixpkgs.perl530Packages.ImportInto                                     perl5.30.3-Import-Into-1.002005
nixpkgs.perl530Packages.Importer                                       perl5.30.3-Importer-0.026
nixpkgs.perl530Packages.Inline                                         perl5.30.3-Inline-0.86
nixpkgs.perl530Packages.InlineC                                        perl5.30.3-Inline-C-0.81
nixpkgs.perl530Packages.InlineJava                                     perl5.30.3-Inline-Java-0.66
nixpkgs.perl530Packages.IO                                             perl5.30.3-IO-1.42
nixpkgs.perl530Packages.IOAIO                                          perl5.30.3-IO-AIO-4.73
nixpkgs.perl530Packages.IOAll                                          perl5.30.3-IO-All-0.87
nixpkgs.perl530Packages.IOAsync                                        perl5.30.3-IO-Async-0.78
nixpkgs.perl530Packages.IOAsyncSSL                                     perl5.30.3-IO-Async-SSL-0.22
nixpkgs.perl530Packages.IOCapture                                      perl5.30.3-IO-Capture-0.05
nixpkgs.perl530Packages.IOCaptureOutput                                perl5.30.3-IO-CaptureOutput-1.1105
nixpkgs.perl530Packages.CompressZlib                                   perl5.30.3-IO-Compress-2.096
nixpkgs.perl530Packages.IODigest                                       perl5.30.3-IO-Digest-0.11
nixpkgs.perl530Packages.IOHandleUtil                                   perl5.30.3-IO-Handle-Util-0.02
nixpkgs.perl530Packages.IOHTML                                         perl5.30.3-IO-HTML-1.004
nixpkgs.perl530Packages.IOInteractive                                  perl5.30.3-IO-Interactive-1.022
nixpkgs.perl530Packages.IOLockedFile                                   perl5.30.3-IO-LockedFile-0.23
nixpkgs.perl530Packages.IOMultiplex                                    perl5.30.3-IO-Multiplex-1.16
nixpkgs.perl530Packages.IOPager                                        perl5.30.3-IO-Pager-2.10
nixpkgs.perl530Packages.IOPipely                                       perl5.30.3-IO-Pipely-0.005
nixpkgs.perl530Packages.IOPrompt                                       perl5.30.3-IO-Prompt-0.997004
nixpkgs.perl530Packages.IOSessionData                                  perl5.30.3-IO-SessionData-1.03
nixpkgs.perl530Packages.IOSocketInet6                                  perl5.30.3-IO-Socket-INET6-2.72
nixpkgs.perl530Packages.IOSocketSSL                                    perl5.30.3-IO-Socket-SSL-2.068
nixpkgs.perl530Packages.IOSocketTimeout                                perl5.30.3-IO-Socket-Timeout-0.32
nixpkgs.perl530Packages.IOString                                       perl5.30.3-IO-String-1.08
nixpkgs.perl530Packages.IOStringy                                      perl5.30.3-IO-Stringy-2.113
nixpkgs.perl530Packages.IOTee                                          perl5.30.3-IO-Tee-0.66
nixpkgs.perl530Packages.IOTieCombine                                   perl5.30.3-IO-TieCombine-1.005
nixpkgs.perl530Packages.IOTty                                          perl5.30.3-IO-Tty-1.15
nixpkgs.perl530Packages.IPCountry                                      perl5.30.3-IP-Country-2.28
nixpkgs.perl530Packages.IPCRun                                         perl5.30.3-IPC-Run-20200505.0
nixpkgs.perl530Packages.IPCRun3                                        perl5.30.3-IPC-Run3-0.048
nixpkgs.perl530Packages.IPCShareLite                                   perl5.30.3-IPC-ShareLite-0.17
nixpkgs.perl530Packages.IPCSignal                                      perl5.30.3-IPC-Signal-1.00
nixpkgs.perl530Packages.IPCSystemSimple                                perl5.30.3-IPC-System-Simple-1.30
nixpkgs.perl530Packages.IPCSysV                                        perl5.30.3-IPC-SysV-2.09
nixpkgs.perl530Packages.IRCUtils                                       perl5.30.3-IRC-Utils-0.12
nixpkgs.perl530Packages.JavaScriptMinifierXS                           perl5.30.3-JavaScript-Minifier-XS-0.11
nixpkgs.perl530Packages.JavaScriptValueEscape                          perl5.30.3-JavaScript-Value-Escape-0.07
nixpkgs.perl530Packages.JSON                                           perl5.30.3-JSON-4.02
nixpkgs.perl530Packages.JSONAny                                        perl5.30.3-JSON-Any-1.39
nixpkgs.perl530Packages.JSONMaybeXS                                    perl5.30.3-JSON-MaybeXS-1.004003
nixpkgs.perl530Packages.JSONParse                                      perl5.30.3-JSON-Parse-0.57
nixpkgs.perl530Packages.JSONPP                                         perl5.30.3-JSON-PP-4.05
nixpkgs.perl530Packages.JSONPPCompat5006                               perl5.30.3-JSON-PP-Compat5006-1.09
nixpkgs.perl530Packages.JSONValidator                                  perl5.30.3-JSON-Validator-4.10
nixpkgs.perl530Packages.JSONWebToken                                   perl5.30.3-JSON-WebToken-0.10
nixpkgs.perl530Packages.JSONXS                                         perl5.30.3-JSON-XS-4.03
nixpkgs.perl530Packages.JSONXSVersionOneAndTwo                         perl5.30.3-JSON-XS-VersionOneAndTwo-0.31
nixpkgs.perl530Packages.LaTeXML                                        perl5.30.3-LaTeXML-0.8.5
nixpkgs.perl530Packages.librelative                                    perl5.30.3-lib-relative-1.000
nixpkgs.perl530Packages.libapreq2                                      perl5.30.3-libapreq2-2.13
nixpkgs.perl530Packages.libintl_perl                                   perl5.30.3-libintl-perl-1.32
nixpkgs.perl530Packages.NetSMTP                                        perl5.30.3-libnet-3.12
nixpkgs.perl530Packages.LWP                                            perl5.30.3-libwww-perl-6.49
nixpkgs.perl530Packages.libxml_perl                                    perl5.30.3-libxml-perl-0.08
nixpkgs.perl530Packages.LinguaENFindNumber                             perl5.30.3-Lingua-EN-FindNumber-1.32
nixpkgs.perl530Packages.LinguaENInflect                                perl5.30.3-Lingua-EN-Inflect-1.905
nixpkgs.perl530Packages.LinguaENInflectNumber                          perl5.30.3-Lingua-EN-Inflect-Number-1.12
nixpkgs.perl530Packages.LinguaENInflectPhrase                          perl5.30.3-Lingua-EN-Inflect-Phrase-0.20
nixpkgs.perl530Packages.LinguaENNumberIsOrdinal                        perl5.30.3-Lingua-EN-Number-IsOrdinal-0.05
nixpkgs.perl530Packages.LinguaENTagger                                 perl5.30.3-Lingua-EN-Tagger-0.31
nixpkgs.perl530Packages.LinguaENWords2Nums                             perl5.30.3-Lingua-EN-Words2Nums-0.18
nixpkgs.perl530Packages.LinguaPTStemmer                                perl5.30.3-Lingua-PT-Stemmer-0.02
nixpkgs.perl530Packages.LinguaStem                                     perl5.30.3-Lingua-Stem-2.31
nixpkgs.perl530Packages.LinguaStemFr                                   perl5.30.3-Lingua-Stem-Fr-0.02
nixpkgs.perl530Packages.LinguaStemIt                                   perl5.30.3-Lingua-Stem-It-0.02
nixpkgs.perl530Packages.LinguaStemRu                                   perl5.30.3-Lingua-Stem-Ru-0.04
nixpkgs.perl530Packages.LinguaStemSnowballDa                           perl5.30.3-Lingua-Stem-Snowball-Da-1.01
nixpkgs.perl530Packages.LinguaTranslit                                 perl5.30.3-Lingua-Translit-0.28
nixpkgs.perl530Packages.LinkEmbedder                                   perl5.30.3-LinkEmbedder-1.16
nixpkgs.perl530Packages.LinuxACL                                       perl5.30.3-Linux-ACL-0.05
nixpkgs.perl530Packages.LinuxDesktopFiles                              perl5.30.3-Linux-DesktopFiles-0.25
nixpkgs.perl530Packages.LinuxDistribution                              perl5.30.3-Linux-Distribution-0.23
nixpkgs.perl530Packages.LinuxFD                                        perl5.30.3-Linux-FD-0.011
nixpkgs.perl530Packages.LinuxInotify2                                  perl5.30.3-Linux-Inotify2-2.2
nixpkgs.perl530Packages.ListAllUtils                                   perl5.30.3-List-AllUtils-0.18
nixpkgs.perl530Packages.ListBinarySearch                               perl5.30.3-List-BinarySearch-0.25
nixpkgs.perl530Packages.ListCompare                                    perl5.30.3-List-Compare-0.55
nixpkgs.perl530Packages.ListMoreUtils                                  perl5.30.3-List-MoreUtils-0.430
nixpkgs.perl530Packages.ListMoreUtilsXS                                perl5.30.3-List-MoreUtils-XS-0.430
nixpkgs.perl530Packages.ListSomeUtils                                  perl5.30.3-List-SomeUtils-0.58
nixpkgs.perl530Packages.ListUtilsBy                                    perl5.30.3-List-UtilsBy-0.11
nixpkgs.perl530Packages.locallib                                       perl5.30.3-local-lib-2.000024
nixpkgs.perl530Packages.LocaleCodes                                    perl5.30.3-Locale-Codes-3.66
nixpkgs.perl530Packages.LocaleMaketextFuzzy                            perl5.30.3-Locale-Maketext-Fuzzy-0.11
nixpkgs.perl530Packages.LocaleMaketextLexicon                          perl5.30.3-Locale-Maketext-Lexicon-1.00
nixpkgs.perl530Packages.LocaleMOFile                                   perl5.30.3-Locale-MO-File-0.09
nixpkgs.perl530Packages.LocaleMsgfmt                                   perl5.30.3-Locale-Msgfmt-0.15
nixpkgs.perl530Packages.LocalePO                                       perl5.30.3-Locale-PO-0.27
nixpkgs.perl530Packages.LocaleTextDomainOO                             perl5.30.3-Locale-TextDomain-OO-1.036
nixpkgs.perl530Packages.LocaleTextDomainOOUtil                         perl5.30.3-Locale-TextDomain-OO-Util-4.002
nixpkgs.perl530Packages.LocaleUtilsPlaceholderBabelFish                perl5.30.3-Locale-Utils-PlaceholderBabelFish-0.006
nixpkgs.perl530Packages.LocaleUtilsPlaceholderMaketext                 perl5.30.3-Locale-Utils-PlaceholderMaketext-1.005
nixpkgs.perl530Packages.LocaleUtilsPlaceholderNamed                    perl5.30.3-Locale-Utils-PlaceholderNamed-1.004
nixpkgs.perl530Packages.LockFileSimple                                 perl5.30.3-LockFile-Simple-0.208
nixpkgs.perl530Packages.LogAny                                         perl5.30.3-Log-Any-1.708
nixpkgs.perl530Packages.LogAnyAdapterLog4perl                          perl5.30.3-Log-Any-Adapter-Log4perl-0.09
nixpkgs.perl530Packages.LogContextual                                  perl5.30.3-Log-Contextual-0.008001
nixpkgs.perl530Packages.LogDispatch                                    perl5.30.3-Log-Dispatch-2.70
nixpkgs.perl530Packages.LogDispatchArray                               perl5.30.3-Log-Dispatch-Array-1.003
nixpkgs.perl530Packages.LogDispatchFileRotate                          perl5.30.3-Log-Dispatch-FileRotate-1.36
nixpkgs.perl530Packages.LogDispatchouli                                perl5.30.3-Log-Dispatchouli-2.022
nixpkgs.perl530Packages.Logger                                         perl5.30.3-Log-ger-0.037
nixpkgs.perl530Packages.LogHandler                                     perl5.30.3-Log-Handler-0.90
nixpkgs.perl530Packages.LogJournald                                    perl5.30.3-Log-Journald-0.30
nixpkgs.perl530Packages.Log4Perl                                       perl5.30.3-Log-Log4perl-1.53
nixpkgs.perl530Packages.LogLogLite                                     perl5.30.3-Log-LogLite-0.82
nixpkgs.perl530Packages.LogMessage                                     perl5.30.3-Log-Message-0.08
nixpkgs.perl530Packages.LogMessageSimple                               perl5.30.3-Log-Message-Simple-0.10
nixpkgs.perl530Packages.LogTrace                                       perl5.30.3-Log-Trace-1.070
nixpkgs.perl530Packages.LongJump                                       perl5.30.3-Long-Jump-0.000001
nixpkgs.perl530Packages.LWPAuthenOAuth                                 perl5.30.3-LWP-Authen-OAuth-1.02
nixpkgs.perl530Packages.LWPMediaTypes                                  perl5.30.3-LWP-MediaTypes-6.04
nixpkgs.perl530Packages.LWPProtocolConnect                             perl5.30.3-LWP-Protocol-connect-6.09
nixpkgs.perl530Packages.LWPProtocolhttp10                              perl5.30.3-LWP-Protocol-http10-6.03
nixpkgs.perl530Packages.LWPProtocolHttps                               perl5.30.3-LWP-Protocol-https-6.09
nixpkgs.perl530Packages.LWPUserAgentDetermined                         perl5.30.3-LWP-UserAgent-Determined-1.07
nixpkgs.perl530Packages.LWPUserAgentDNSHosts                           perl5.30.3-LWP-UserAgent-DNS-Hosts-0.14
nixpkgs.perl530Packages.LWPUserAgentMockable                           perl5.30.3-LWP-UserAgent-Mockable-1.18
nixpkgs.perl530Packages.LWPxParanoidAgent                              perl5.30.3-LWPx-ParanoidAgent-1.12
nixpkgs.perl530Packages.maatkit                                        perl5.30.3-maatkit-7540
nixpkgs.perl530Packages.MacPasteboard                                  perl5.30.3-Mac-Pasteboard-0.011
nixpkgs.perl530Packages.MailAuthenticationResults                      perl5.30.3-Mail-AuthenticationResults-1.20200824.1
nixpkgs.perl530Packages.MailBox                                        perl5.30.3-Mail-Box-3.009
nixpkgs.perl530Packages.MailDKIM                                       perl5.30.3-Mail-DKIM-1.20200907
nixpkgs.perl530Packages.MailIMAPClient                                 perl5.30.3-Mail-IMAPClient-3.42
nixpkgs.perl530Packages.MailMaildir                                    perl5.30.3-Mail-Maildir-1.0.0
nixpkgs.perl530Packages.MailMboxMessageParser                          perl5.30.3-Mail-Mbox-MessageParser-1.5111
nixpkgs.perl530Packages.MailMessage                                    perl5.30.3-Mail-Message-3.010
nixpkgs.perl530Packages.MailPOP3Client                                 perl5.30.3-Mail-POP3Client-2.19
nixpkgs.perl530Packages.MailRFC822Address                              perl5.30.3-Mail-RFC822-Address-0.3
nixpkgs.perl530Packages.MailSender                                     perl5.30.3-Mail-Sender-0.903
nixpkgs.perl530Packages.MailSendmail                                   perl5.30.3-Mail-Sendmail-0.80
nixpkgs.perl530Packages.MailSPF                                        perl5.30.3-Mail-SPF-2.9.0
nixpkgs.perl530Packages.MailTransport                                  perl5.30.3-Mail-Transport-3.005
nixpkgs.perl530Packages.MailTools                                      perl5.30.3-MailTools-2.21
nixpkgs.perl530Packages.MathBaseConvert                                perl5.30.3-Math-Base-Convert-0.11
nixpkgs.perl530Packages.MathBase85                                     perl5.30.3-Math-Base85-0.4
nixpkgs.perl530Packages.MathBigInt                                     perl5.30.3-Math-BigInt-1.999818
nixpkgs.perl530Packages.MathBigIntGMP                                  perl5.30.3-Math-BigInt-GMP-1.6007
nixpkgs.perl530Packages.MathBigIntLite                                 perl5.30.3-Math-BigInt-Lite-0.19
nixpkgs.perl530Packages.MathCalcParser                                 perl5.30.3-Math-Calc-Parser-1.005
nixpkgs.perl530Packages.MathCalcUnits                                  perl5.30.3-Math-Calc-Units-1.07
nixpkgs.perl530Packages.MathClipper                                    perl5.30.3-Math-Clipper-1.29
nixpkgs.perl530Packages.MathConvexHullMonotoneChain                    perl5.30.3-Math-ConvexHull-MonotoneChain-0.01
nixpkgs.perl530Packages.MathGeometryVoronoi                            perl5.30.3-Math-Geometry-Voronoi-1.3
nixpkgs.perl530Packages.MathGMP                                        perl5.30.3-Math-GMP-2.20
nixpkgs.perl530Packages.MathGMPz                                       perl5.30.3-Math-GMPz-0.48
nixpkgs.perl530Packages.MathInt128                                     perl5.30.3-Math-Int128-0.22
nixpkgs.perl530Packages.MathInt64                                      perl5.30.3-Math-Int64-0.54
nixpkgs.perl530Packages.MathLibm                                       perl5.30.3-Math-Libm-1.00
nixpkgs.perl530Packages.MathPari                                       perl5.30.3-Math-Pari-2.030518
nixpkgs.perl530Packages.MathPlanePath                                  perl5.30.3-Math-PlanePath-129
nixpkgs.perl530Packages.MathPrimeUtil                                  perl5.30.3-Math-Prime-Util-0.73
nixpkgs.perl530Packages.MathPrimeUtilGMP                               perl5.30.3-Math-Prime-Util-GMP-0.52
nixpkgs.perl530Packages.MathProvablePrime                              perl5.30.3-Math-ProvablePrime-0.045
nixpkgs.perl530Packages.MathRandom                                     perl5.30.3-Math-Random-0.72
nixpkgs.perl530Packages.MathRandomISAAC                                perl5.30.3-Math-Random-ISAAC-1.004
nixpkgs.perl530Packages.MathRandomMTAuto                               perl5.30.3-Math-Random-MT-Auto-6.23
nixpkgs.perl530Packages.MathRandomSecure                               perl5.30.3-Math-Random-Secure-0.080001
nixpkgs.perl530Packages.MathRound                                      perl5.30.3-Math-Round-0.07
nixpkgs.perl530Packages.MathVecStat                                    perl5.30.3-Math-VecStat-0.08
nixpkgs.perl530Packages.MaxMindDBCommon                                perl5.30.3-MaxMind-DB-Common-0.040001
nixpkgs.perl530Packages.MaxMindDBReader                                perl5.30.3-MaxMind-DB-Reader-1.000014
nixpkgs.perl530Packages.MaxMindDBReaderXS                              perl5.30.3-MaxMind-DB-Reader-XS-1.000008
nixpkgs.perl530Packages.MaxMindDBWriter                                perl5.30.3-MaxMind-DB-Writer-0.300003
nixpkgs.perl530Packages.MCE                                            perl5.30.3-MCE-1.874
nixpkgs.perl530Packages.Memoize                                        perl5.30.3-Memoize-1.03
nixpkgs.perl530Packages.MemoizeExpireLRU                               perl5.30.3-Memoize-ExpireLRU-0.56
nixpkgs.perl530Packages.Menlo                                          perl5.30.3-Menlo-1.9019
nixpkgs.perl530Packages.MenloLegacy                                    perl5.30.3-Menlo-Legacy-1.9022
nixpkgs.perl530Packages.MetaBuilder                                    perl5.30.3-Meta-Builder-0.004
nixpkgs.perl530Packages.MetaCPANClient                                 perl5.30.3-MetaCPAN-Client-2.029000
nixpkgs.perl530Packages.MethodSignaturesSimple                         perl5.30.3-Method-Signatures-Simple-1.07
nixpkgs.perl530Packages.MetricsAny                                     perl5.30.3-Metrics-Any-0.06
nixpkgs.perl530Packages.MHonArc                                        perl5.30.3-MHonArc-2.6.19
nixpkgs.perl530Packages.MIMECharset                                    perl5.30.3-MIME-Charset-1.012.2
nixpkgs.perl530Packages.mimeConstruct                                  perl5.30.3-mime-construct-1.11
nixpkgs.perl530Packages.MIMEEncWords                                   perl5.30.3-MIME-EncWords-1.014.3
nixpkgs.perl530Packages.MIMELite                                       perl5.30.3-MIME-Lite-3.031
nixpkgs.perl530Packages.MIMELiteHTML                                   perl5.30.3-MIME-Lite-HTML-1.24
nixpkgs.perl530Packages.MIMETools                                      perl5.30.3-MIME-tools-5.509
nixpkgs.perl530Packages.MIMETypes                                      perl5.30.3-MIME-Types-2.18
nixpkgs.perl530Packages.Minion                                         perl5.30.3-Minion-10.14
nixpkgs.perl530Packages.MinionBackendmysql                             perl5.30.3-Minion-Backend-mysql-0.21
nixpkgs.perl530Packages.MinionBackendSQLite                            perl5.30.3-Minion-Backend-SQLite-5.0.3
nixpkgs.perl530Packages.MixinLinewise                                  perl5.30.3-Mixin-Linewise-0.108
nixpkgs.perl530Packages.MLDBM                                          perl5.30.3-MLDBM-2.05
nixpkgs.perl530Packages.MNI-Perllib                                    perl5.30.3-MNI-Perllib-2012-04-13
nixpkgs.perl530Packages.Mo                                             perl5.30.3-Mo-0.40
nixpkgs.perl530Packages.MockConfig                                     perl5.30.3-Mock-Config-0.03
nixpkgs.perl530Packages.ModernPerl                                     perl5.30.3-Modern-Perl-1.20200211
nixpkgs.perl530Packages.ModuleBuild                                    perl5.30.3-Module-Build-0.4231
nixpkgs.perl530Packages.ModuleBuildDeprecated                          perl5.30.3-Module-Build-Deprecated-0.4210
nixpkgs.perl530Packages.ModuleBuildPluggable                           perl5.30.3-Module-Build-Pluggable-0.10
nixpkgs.perl530Packages.ModuleBuildPluggablePPPort                     perl5.30.3-Module-Build-Pluggable-PPPort-0.04
nixpkgs.perl530Packages.ModuleBuildTiny                                perl5.30.3-Module-Build-Tiny-0.039
nixpkgs.perl530Packages.ModuleBuildWithXSpp                            perl5.30.3-Module-Build-WithXSpp-0.14
nixpkgs.perl530Packages.ModuleBuildXSUtil                              perl5.30.3-Module-Build-XSUtil-0.19
nixpkgs.perl530Packages.ModuleCompile                                  perl5.30.3-Module-Compile-0.38
nixpkgs.perl530Packages.ModuleCPANfile                                 perl5.30.3-Module-CPANfile-1.1004
nixpkgs.perl530Packages.ModuleCPANTSAnalyse                            perl5.30.3-Module-CPANTS-Analyse-1.01
nixpkgs.perl530Packages.ModuleExtractUse                               perl5.30.3-Module-ExtractUse-0.343
nixpkgs.perl530Packages.ModuleFind                                     perl5.30.3-Module-Find-0.15
nixpkgs.perl530Packages.ModuleImplementation                           perl5.30.3-Module-Implementation-0.09
nixpkgs.perl530Packages.ModuleInfo                                     perl5.30.3-Module-Info-0.37
nixpkgs.perl530Packages.ModuleInstall                                  perl5.30.3-Module-Install-1.19
nixpkgs.perl530Packages.ModuleInstallAuthorRequires                    perl5.30.3-Module-Install-AuthorRequires-0.02
nixpkgs.perl530Packages.ModuleInstallAuthorTests                       perl5.30.3-Module-Install-AuthorTests-0.002
nixpkgs.perl530Packages.ModuleInstallGithubMeta                        perl5.30.3-Module-Install-GithubMeta-0.30
nixpkgs.perl530Packages.ModuleInstallReadmeFromPod                     perl5.30.3-Module-Install-ReadmeFromPod-0.30
nixpkgs.perl530Packages.ModuleInstallReadmeMarkdownFromPod             perl5.30.3-Module-Install-ReadmeMarkdownFromPod-0.04
nixpkgs.perl530Packages.ModuleInstallRepository                        perl5.30.3-Module-Install-Repository-0.06
nixpkgs.perl530Packages.ModuleManifest                                 perl5.30.3-Module-Manifest-1.09
nixpkgs.perl530Packages.ModulePath                                     perl5.30.3-Module-Path-0.19
nixpkgs.perl530Packages.ModulePluggable                                perl5.30.3-Module-Pluggable-5.2
nixpkgs.perl530Packages.ModulePluggableFast                            perl5.30.3-Module-Pluggable-Fast-0.19
nixpkgs.perl530Packages.ModuleRefresh                                  perl5.30.3-Module-Refresh-0.17
nixpkgs.perl530Packages.ModuleRuntime                                  perl5.30.3-Module-Runtime-0.016
nixpkgs.perl530Packages.ModuleRuntimeConflicts                         perl5.30.3-Module-Runtime-Conflicts-0.003
nixpkgs.perl530Packages.ModuleScanDeps                                 perl5.30.3-Module-ScanDeps-1.29
nixpkgs.perl530Packages.ModuleSignature                                perl5.30.3-Module-Signature-0.87
nixpkgs.perl530Packages.ModuleUtil                                     perl5.30.3-Module-Util-1.09
nixpkgs.perl530Packages.ModuleVersions                                 perl5.30.3-Module-Versions-0.02
nixpkgs.perl530Packages.ModuleVersionsReport                           perl5.30.3-Module-Versions-Report-1.06
nixpkgs.perl530Packages.mod_perl2                                      perl5.30.3-mod_perl-2.0.11
nixpkgs.perl530Packages.MojoDOM58                                      perl5.30.3-Mojo-DOM58-2.000
nixpkgs.perl530Packages.MojoIOLoopForkCall                             perl5.30.3-Mojo-IOLoop-ForkCall-0.20
nixpkgs.perl530Packages.MojoJWT                                        perl5.30.3-Mojo-JWT-0.09
nixpkgs.perl530Packages.Mojomysql                                      perl5.30.3-Mojo-mysql-1.20
nixpkgs.perl530Packages.MojoPg                                         perl5.30.3-Mojo-Pg-4.22
nixpkgs.perl530Packages.MojoRedis                                      perl5.30.3-Mojo-Redis-3.25
nixpkgs.perl530Packages.MojoSAML                                       perl5.30.3-Mojo-SAML-0.07
nixpkgs.perl530Packages.MojoSQLite                                     perl5.30.3-Mojo-SQLite-3.004
nixpkgs.perl530Packages.MojoUserAgentCached                            perl5.30.3-Mojo-UserAgent-Cached-1.12
nixpkgs.perl530Packages.Mojolicious                                    perl5.30.3-Mojolicious-8.71
nixpkgs.perl530Packages.MojoliciousPluginAssetPack                     perl5.30.3-Mojolicious-Plugin-AssetPack-2.10
nixpkgs.perl530Packages.MojoliciousPluginGravatar                      perl5.30.3-Mojolicious-Plugin-Gravatar-0.04
nixpkgs.perl530Packages.MojoliciousPluginMail                          perl5.30.3-Mojolicious-Plugin-Mail-1.5
nixpkgs.perl530Packages.MojoliciousPluginOpenAPI                       perl5.30.3-Mojolicious-Plugin-OpenAPI-3.40
nixpkgs.perl530Packages.MojoliciousPluginStatus                        perl5.30.3-Mojolicious-Plugin-Status-1.12
nixpkgs.perl530Packages.MojoliciousPluginTextExceptions                perl5.30.3-Mojolicious-Plugin-TextExceptions-0.01
nixpkgs.perl530Packages.MojoliciousPluginWebpack                       perl5.30.3-Mojolicious-Plugin-Webpack-0.14
nixpkgs.perl530Packages.MonitoringPlugin                               perl5.30.3-Monitoring-Plugin-0.40
nixpkgs.perl530Packages.Moo                                            perl5.30.3-Moo-2.004004
nixpkgs.perl530Packages.ClassMOP                                       perl5.30.3-Moose-2.2013
nixpkgs.perl530Packages.MooseAutobox                                   perl5.30.3-Moose-Autobox-0.16
nixpkgs.perl530Packages.MooseXABC                                      perl5.30.3-MooseX-ABC-0.06
nixpkgs.perl530Packages.MooseXAliases                                  perl5.30.3-MooseX-Aliases-0.11
nixpkgs.perl530Packages.MooseXAppCmd                                   perl5.30.3-MooseX-App-Cmd-0.32
nixpkgs.perl530Packages.MooseXAttributeChained                         perl5.30.3-MooseX-Attribute-Chained-1.0.3
nixpkgs.perl530Packages.MooseXAttributeHelpers                         perl5.30.3-MooseX-AttributeHelpers-0.25
nixpkgs.perl530Packages.MooseXClone                                    perl5.30.3-MooseX-Clone-0.06
nixpkgs.perl530Packages.MooseXConfigFromFile                           perl5.30.3-MooseX-ConfigFromFile-0.14
nixpkgs.perl530Packages.MooseXDaemonize                                perl5.30.3-MooseX-Daemonize-0.22
nixpkgs.perl530Packages.MooseXEmulateClassAccessorFast                 perl5.30.3-MooseX-Emulate-Class-Accessor-Fast-0.009032
